id_commune,nom_commune,arrondissement,cluster_kmeans,quartile_iift,IIFT,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6
C-001,Port-au-Prince,Port-au-Prince,1,Q4 — Élevé,100.0,10.041542268552238,-3.258678199441156,-4.131774015433923,0.6023841744271413,0.2261816663855066,-1.3169378660626905
C-002,Delmas,Port-au-Prince,1,Q4 — Élevé,97.73644290538012,9.727956236929236,-1.867859424927314,-4.137420371236566,0.7220363463839387,0.6880105113201244,-1.63221872251169
C-003,Cité Soleil,Port-au-Prince,1,Q4 — Élevé,59.459938619583866,4.425250547767277,0.1699948924483234,-2.6793873326153865,2.4860330162723425,2.501843548111734,-1.6777777496269295
C-004,Tabarre,Port-au-Prince,1,Q4 — Élevé,71.44251388910351,6.085278579012329,-1.441389870642008,-3.198570111730737,1.6979630486197417,0.4373711952363669,-1.3983958923137043
C-005,Carrefour,Port-au-Prince,1,Q4 — Élevé,86.21861621735238,8.13231300239148,-1.6707646367861897,-1.5229070582085649,0.7902990784074619,-0.3747349632474138,-1.560038180939659
C-006,Pétion-Ville,Port-au-Prince,1,Q4 — Élevé,92.6834495917442,9.027930545151063,-2.9463728858586826,-1.854824925850612,-1.7988933600084014,1.0014388636747773,-0.0884944416087012
C-007,Kenscoff,Port-au-Prince,2,Q3 — Moyen-élevé,34.02856594911989,0.9020687144432328,2.699721159041664,0.9954106104623373,-0.6775000209550971,1.7055571416391695,0.4036078797787551
C-008,Gressier,Port-au-Prince,2,Q4 — Élevé,40.27655082817897,1.7676447533784008,1.003326129813772,0.7628377441356846,-0.7655140413382688,-0.4883753644587391,0.3771654906535107
C-009,Léogâne,Léogâne,1,Q4 — Élevé,72.18425721226501,6.188037350039545,-0.7635701534443071,1.709819555399304,-0.857216489853379,1.2854018970333982,1.3663634269861606
C-010,Petit-Goâve,Léogâne,1,Q4 — Élevé,54.08982530819512,3.681292055760669,-0.2231746754530323,1.326482504257752,0.9792339490189992,-0.6750023317779551,-1.7251880682684182
C-011,Grand-Goâve,Léogâne,2,Q4 — Élevé,37.710969250273465,1.412217206296546,1.668083458764205,1.3603553081033657,0.2613410554556255,1.0630257378254873,-1.2500012309242916
C-012,Croix-des-Bouquets,Croix-des-Bouquets,1,Q4 — Élevé,70.6583495396992,5.976642933348959,-1.994307711472313,1.715793526513796,-0.094594781496098,-0.7182256937680535,-0.1740077147356248
C-013,Thomazeau,Croix-des-Bouquets,2,Q3 — Moyen-élevé,26.310944920139622,-0.1671060626368124,2.576349140641739,1.4543754326810003,0.6487586410000417,-0.7378953377079606,-1.2459927591511375
C-014,Ganthier,Croix-des-Bouquets,2,Q4 — Élevé,36.133965310566,1.1937440745685604,1.6417868327231278,1.3474163903651066,0.3929659082080105,-1.659879168455912,-0.069648671958666
C-015,Cornillon,Croix-des-Bouquets,0,Q2 — Moyen-faible,13.687085063583243,-1.915975629740548,-0.4965260148567837,0.5632837367469359,0.8846949759888955,-0.8492085477298159,0.3888465302842585
C-016,Fonds-Verrettes,Croix-des-Bouquets,2,Q3 — Moyen-élevé,29.015452923325537,0.2075679114491591,2.278137059101774,0.9052103692950768,0.3313270643395462,-0.4126172483244634,-0.4231304685467042
C-017,Arcahaie,Arcahaie,2,Q4 — Élevé,50.54614774970545,3.1903621889773066,1.561018981340475,2.2392215851207697,0.0376595456830505,2.270191345250678,-0.8939992643153971
C-018,Cabaret,Arcahaie,2,Q4 — Élevé,54.45285529147077,3.731585079995028,0.995392234035622,1.4760469199584294,0.4239309120978547,0.8888590700722184,0.6302325591651076
C-019,Anse-à-Galets,La Gonâve,2,Q4 — Élevé,46.05095208114557,2.5676120165062533,1.7998301010280189,1.4777263517709245,-0.0066921164163866,-2.142564617500236,-0.7991017209764282
C-020,Pointe-à-Raquette,La Gonâve,2,Q2 — Moyen-faible,22.922829653327675,-0.6364848221680772,2.014758479858027,2.8991945680977182,-1.5987036385416786,0.3902917922216117,-1.2569520988000458
C-021,Jacmel,Jacmel,1,Q4 — Élevé,54.26882949665813,3.706090729157258,-4.872537961897828,0.8562135277639842,-2.296894537638556,-1.98174974542224,-0.0843169836549242
C-022,Marigot,Jacmel,0,Q3 — Moyen-élevé,26.926334324226357,-0.0818519634187804,-2.376131571097704,0.7528791873674078,0.1773636236558161,0.153042721899607,-0.1662512534021563
C-023,Cayes-Jacmel,Jacmel,0,Q2 — Moyen-faible,17.93233892156124,-1.3278516041881352,-1.175592629689896,-0.5925632276468831,0.1026566359870017,0.2653099693618121,0.5028071237811877
C-024,La Vallée de Jacmel,Jacmel,0,Q3 — Moyen-élevé,23.00518056447923,-0.6250761877272082,-1.5495324235675851,-0.7028057788249207,-2.1448381465712085,-0.7988805489568609,0.7010281974519429
C-025,Bainet,Bainet,0,Q2 — Moyen-faible,12.918386443359502,-2.0224687022603383,-1.7927030600188265,0.665095224052883,0.2102114137654561,-0.6821166283548017,-0.1524705478885452
C-026,Côtes-de-Fer,Bainet,0,Q1 — Faible,7.477379333505514,-2.7762485965988057,-1.708302586084224,-0.3349662823009708,-0.402324701243578,-0.1777933798915473,-0.080545521677192
C-027,Belle-Anse,Belle-Anse,0,Q2 — Moyen-faible,14.129408066815978,-1.8546976016276249,-1.9658807286192976,1.6686250924361257,1.3803580756010003,-0.0902506807172971,0.5485652322228652
C-028,Grand-Gosier,Belle-Anse,0,Q1 — Faible,0.3215590772811261,-3.767593273740136,0.2432784782005914,-0.5267715169713049,0.390754272352295,1.3141114875338578,-1.2615558734158936
C-029,Thiotte,Belle-Anse,0,Q3 — Moyen-élevé,24.74527961540432,-0.3840083757831097,-0.9174614311007,0.364674372775755,-0.3220396589037825,-1.324191293201185,0.0248625451570722
C-030,Anse-à-Pitre,Belle-Anse,2,Q3 — Moyen-élevé,25.22270878601632,-0.3178668504161869,2.330302360128935,0.89388418781581,0.3584167476402809,-0.5157178007216776,-2.218242631090255
C-031,Cap-Haïtien,Cap-Haïtien,1,Q4 — Élevé,84.85718523812963,7.943704665929451,-0.8042530297009692,-3.2508073177068098,0.269572507184139,-0.0423608468043331,0.1352099368725765
C-032,Quartier-Morin,Cap-Haïtien,0,Q1 — Faible,9.757589302652182,-2.460355528475427,-1.343751000102519,-1.029666824029345,-1.0265552832502067,0.0624183846316926,-1.681231267587211
C-033,Limonade,Cap-Haïtien,2,Q4 — Élevé,36.60833926142679,1.259462339466464,2.837765255824661,0.1683449578973416,0.4268143584603983,0.6757293595273767,1.0742636185760444
C-034,Acul-du-Nord,Acul-du-Nord,2,Q3 — Moyen-élevé,23.252496663621752,-0.5908137985562341,1.733639912315326,-0.2091003819015753,1.749917930320037,-0.4323203316454019,-0.4448625376773295
C-035,Plaine-du-Nord,Acul-du-Nord,2,Q3 — Moyen-élevé,33.23393174906351,0.7919826088266013,1.6987093618532154,-0.3435047065474751,0.0992335691984006,1.3107698022428091,1.016737294922745
C-036,Milot,Acul-du-Nord,2,Q4 — Élevé,39.673053215071945,1.6840381052235995,2.2170212435229413,-1.0641626817040175,-0.1489983305521801,-0.2058506859111112,0.3412107055210156
C-037,Grande-Rivière-du-Nord,Grande-Rivière-du-Nord,2,Q3 — Moyen-élevé,25.45482755415198,-0.2857098513557742,2.5936090435588515,0.0153662741562625,-0.3171195807498791,1.1975933916999053,-0.1801967972898093
C-038,Bahon,Grande-Rivière-du-Nord,0,Q1 — Faible,6.398704304986456,-2.925684819086017,-0.119255732421953,-1.3508439125361078,-0.8914858368856252,-0.7171935639401982,0.3509107208179563
C-039,Saint-Raphaël,Saint-Raphaël,2,Q3 — Moyen-élevé,34.8746823056008,1.0192869949764756,0.6466244252254879,0.0519837974574933,-4.221116148470937,0.346237876338006,0.9574816053983544
C-040,Dondon,Saint-Raphaël,2,Q2 — Moyen-faible,17.22336710666552,-1.4260703142415003,2.1277385709290004,0.0043229304731113,1.7634616771212952,-0.1995774013603943,-0.4746671818072411
C-041,Ranquitte,Saint-Raphaël,0,Q1 — Faible,2.0201158553110687,-3.532280596726256,-0.1502229286764217,-1.4103390128069162,0.6391683708353714,1.240581557733021,0.3043090138830393
C-042,Pignon,Saint-Raphaël,2,Q3 — Moyen-élevé,34.93721141650991,1.027949579983723,1.6716691833884008,0.2974377340866616,-1.3933229359908967,0.2673075585558541,0.3800307175211347
C-043,La Victoire,Saint-Raphaël,2,Q3 — Moyen-élevé,25.299960736787565,-0.3071646097989434,3.627961090928204,-2.1070716002337133,-1.0631578983645096,-1.696099896810414,1.0266181453117111
C-044,Borgne,Borgne,0,Q1 — Faible,3.1674452048924024,-3.373333222014583,-0.7085122659207539,-0.8342836095104267,1.1832277128107882,0.1366303863205576,0.4690014187050065
C-045,Port-Margot,Borgne,2,Q3 — Moyen-élevé,33.60259755840963,0.8430564025571491,0.5082394001137397,-0.3848827038670459,0.2397845584868501,-0.9472142251652002,0.0711809691144012
C-046,Limbé,Limbé,2,Q4 — Élevé,43.17141159081996,2.1686895959473813,0.7810176900482909,-0.8893379117299771,0.4999995885120089,1.9199305511098064,0.9176342509504712
C-047,Bas-Limbé,Limbé,2,Q2 — Moyen-faible,18.466930472218465,-1.253790983712406,2.5324775776655746,-1.7102320118449013,0.6866723574915223,0.9800383092051942,0.0843507982908773
C-048,Plaisance,Plaisance,2,Q3 — Moyen-élevé,32.78843433214919,0.7302648074950117,2.3116349185084184,-0.4412272645644752,1.4232232745790474,-0.6043089498117629,-0.7286822725940442
C-049,Pilate,Plaisance,0,Q2 — Moyen-faible,22.5431603669982,-0.6890830027539272,-0.9221586683804648,-0.3171854254418474,0.4539766726840144,-0.7205020467857265,1.0822521656615045
C-050,Fort-Liberté,Fort-Liberté,2,Q4 — Élevé,47.74242748783942,2.80194366276062,2.3626721733938614,1.229658831608359,-0.0506863991566269,-1.8780561361993824,0.3245910186607831
C-051,Ferrier,Fort-Liberté,2,Q3 — Moyen-élevé,23.2792161896454,-0.5871121600367035,3.20794768013016,0.1690987801385089,0.775597112569913,-1.2544825430516684,-0.4002268292147
C-052,Perches,Fort-Liberté,2,Q3 — Moyen-élevé,28.04741222138599,0.0734586182078735,3.425251982519284,-1.4313999557103063,0.3653432007821999,-2.4459471602096143,-0.4603243536165423
C-053,Ouanaminthe,Ouanaminthe,2,Q4 — Élevé,51.67187241189521,3.346316518715791,1.4501491304253895,-0.1605965195076466,1.3101570197044208,-0.0846097413460097,0.3662164893216046
C-054,Capotille,Ouanaminthe,0,Q1 — Faible,2.4125762682929164,-3.477910373961113,-0.1061401525114655,-1.7649795540283355,-0.1033164055330091,0.7878989989530338,0.7087694640914084
C-055,Mont-Organisé,Ouanaminthe,0,Q2 — Moyen-faible,13.168660776926403,-1.9877964886603907,-0.5596911575416762,-1.0524093110609092,-0.970527717603768,-0.1570282213599616,-0.3027772295702369
C-056,Trou-du-Nord,Trou-du-Nord,2,Q4 — Élevé,43.87454614749211,2.266099630731968,3.087876173766964,0.1720128146877712,-0.1291326585091113,0.4188686392102296,0.6549262242551638
C-057,Sainte-Suzanne,Trou-du-Nord,0,Q1 — Faible,4.277923520789891,-3.219491072809078,0.0211127279576395,-0.8339630737229761,-0.4982689366436311,-0.6893306457081819,-1.3343184910530173
C-058,Terrier-Rouge,Trou-du-Nord,2,Q3 — Moyen-élevé,30.66291790253575,0.4358024924528078,2.910462109606217,0.6818173852585413,-1.165766924327598,0.6597389591569213,0.243816377331577
C-059,Caracol,Trou-du-Nord,2,Q3 — Moyen-élevé,28.37750856824583,0.119189120747908,2.4592827891513296,-0.4203069994487692,-2.5729207634592006,-1.6874436891853222,-0.7066445917576875
C-060,Vallières,Vallières,0,Q1 — Faible,4.033843011868232,-3.253305213557368,-0.0219606679984463,-0.6358770951479348,-0.0546052776004609,0.3663719849660071,0.155957672204554
C-061,Carice,Vallières,2,Q2 — Moyen-faible,17.75260808756817,-1.352750944755307,2.15467187516111,-0.5245542038655937,1.0439125933407258,-0.1540845213963387,-0.0336917739670727
C-062,Mombin-Crochu,Vallières,0,Q1 — Faible,7.875032833583514,-2.7211589399929057,-1.046868626387744,0.6907057997416808,1.980619509115888,0.6530307643978297,0.3580129900221266
C-063,Gonaïves,Gonaïves,1,Q4 — Élevé,81.226439419945,7.440712638176983,-0.9623852986909336,0.308364538854587,-1.207454925593866,-0.1259647991791472,1.30516784669974
C-064,Ennery,Gonaïves,0,Q1 — Faible,9.79265626337979,-2.455497462786787,-0.7347100173645266,0.6687060995063626,-1.3730346039681194,1.0467064613062709,0.388230903429984
C-065,Estère,Gonaïves,2,Q3 — Moyen-élevé,34.138861487043904,0.9173487089817072,2.4693789156192456,1.236814253697145,-1.7080380786148557,-0.8259775783619706,-1.3682745546895718
C-066,Gros-Morne,Gros-Morne,0,Q3 — Moyen-élevé,26.937019519784453,-0.0803716702641944,-2.508092574078161,1.559885126396361,2.031637045828852,0.6939078461685158,0.5774469973234985
C-067,Terre-Neuve,Gros-Morne,0,Q1 — Faible,5.42669193787172,-3.0603443342431462,0.0053813485594812,-0.0124458867064178,-0.754805185495243,-0.8991402537982572,0.5519862026173314
C-068,Anse-Rouge,Gros-Morne,2,Q2 — Moyen-faible,22.54007064035224,-0.6895110436988673,0.9548174971666812,2.082692017581373,-0.6218372237800541,1.899317531447163,0.0727077517057659
C-069,Saint-Marc,Saint-Marc,1,Q4 — Élevé,76.0791383913307,6.727621854220758,-0.6968245139992993,1.9506875196434497,-0.3181306357622957,1.1409771484929818,1.9675856425947709
C-070,Verrettes,Saint-Marc,2,Q4 — Élevé,39.65789131506386,1.6819376236114063,1.0978440903145112,2.116753136476349,1.3340610798124588,1.0171184261346593,-0.5941069090505949
C-071,La Chapelle,Saint-Marc,0,Q1 — Faible,8.71211963185663,-2.605191585858835,-0.5013386959488035,0.2508897851905488,-0.4394890882510625,0.8659151076221052,-1.2595653179360793
C-072,Dessalines,Dessalines,0,Q2 — Moyen-faible,21.823201925780637,-0.7888237652253125,-3.786778030089304,1.302136427018904,-0.7873651681290903,-0.3620288119690797,-2.014048382005377
C-073,Petite-Rivière-de-l'Artibonite,Dessalines,2,Q4 — Élevé,38.5860433936864,1.5334472069274088,-0.0070142709101303,2.52770443798498,0.5487345872079397,0.7538132011774595,-0.4215096276035528
C-074,Grande-Saline,Dessalines,0,Q1 — Faible,2.74923367846084,-3.431270922488048,-0.2568015049025193,-1.5274386795332695,0.3130271369440922,-0.5622844254831421,-1.1521945832450402
C-075,Desdunes,Dessalines,2,Q3 — Moyen-élevé,35.333239788515904,1.0828140964930066,2.013635017535063,0.4737344873778283,-1.4414013169245914,0.8685527865639205,-1.8618907724757496
C-076,Saint-Michel-de-l'Attalaye,Marmelade,0,Q3 — Moyen-élevé,26.81191148988884,-0.097703740531999,-2.8711300442478787,1.6205179212347067,-0.5089458068184698,-0.2428010758911669,-0.118865498912811
C-077,Marmelade,Marmelade,0,Q2 — Moyen-faible,14.652346435305104,-1.7822513761059966,-0.4425355788383422,-0.6734731407508674,1.809658546796302,-0.4214686099881493,0.7082210906663551
C-078,Hinche,Hinche,1,Q4 — Élevé,61.42147297086197,4.696995304977741,0.2197000594161113,2.3130426064209217,0.5354229495631996,-0.089088665082275,1.44586269205883
C-079,Maïssade,Hinche,0,Q2 — Moyen-faible,20.137885891306404,-1.022302111557964,-1.4043411556403251,1.3070828640542786,1.4220388412775344,-0.0138539071969375,-0.9962312682614872
C-080,Thomonde,Hinche,0,Q2 — Moyen-faible,21.07280021458885,-0.8927820419107344,-2.2513300511841035,1.485081396090216,1.4857317381605315,-0.1422042978220084,0.1287051437682902
C-081,Cerca-Carvajal,Hinche,0,Q1 — Faible,7.256803138879945,-2.8068065240783207,-0.6228703857537776,-0.728587807449486,0.6050073525671756,-0.6469207728710138,0.6426199647387145
C-082,Mirebalais,Mirebalais,0,Q4 — Élevé,39.60256899400713,1.6742734444477398,-3.604788327718799,1.5214069077334973,-1.209517149354669,-0.697917075497566,0.1793308058692749
C-083,Saut-d'Eau,Mirebalais,0,Q2 — Moyen-faible,19.10469952642357,-1.165436478639177,-1.1826512957438204,0.7326234187482786,0.738941792341942,-2.0152225070242245,-0.9600975551314204
C-084,Boucan-Carré,Mirebalais,0,Q1 — Faible,9.9729886010092,-2.4305147918106864,-1.9180341441601745,1.5673037197291426,0.675310893244807,1.3249291031111083,-1.4939858566161055
C-085,Lascahobas,Lascahobas,0,Q3 — Moyen-élevé,23.93286848791389,-0.4965572406302222,-2.0867972737963054,0.7850513211022189,2.040096196956836,-2.207046331952588,0.616050139162916
C-086,Belladère,Lascahobas,0,Q2 — Moyen-faible,16.780299861793583,-1.4874514472342424,-0.5941787956047083,0.4988736540030037,-0.1368827059374219,1.8573943315682493,1.0926197391276988
C-087,Savanette,Lascahobas,0,Q1 — Faible,9.38072319904006,-2.512565365004775,-0.8290642363150383,0.8566424772073508,0.9898294811493196,1.1160029630367123,-0.4784992594582321
C-088,Cerca-la-Source,Cerca-la-Source,0,Q1 — Faible,8.49377719832983,-2.6354400551496333,-0.8138122871136059,0.3143598799363895,0.1498819743900014,0.4947457519493947,1.4542963122623904
C-089,Thomassique,Cerca-la-Source,0,Q2 — Moyen-faible,17.896290471461715,-1.3328456423061654,-1.0936506587716406,0.365870354319034,-0.2114599916104849,1.1961116299527947,0.8017686010108804
C-090,Les Cayes,Les Cayes,1,Q4 — Élevé,79.61384637000872,7.217309103822011,-0.0283391182981482,0.409156745751303,0.3225913448521044,-0.6865730146014599,1.6117266396107863
C-091,Torbeck,Les Cayes,0,Q2 — Moyen-faible,11.326288596873976,-2.243032896033753,-1.5301463589878777,-0.0131532716871431,1.3937884823556652,1.894585339958164,-0.1447112182550129
C-092,Chantal,Les Cayes,0,Q1 — Faible,7.419644825303038,-2.784246952530694,0.2364204244720984,-0.154013175448847,1.2035548177415123,0.676163598620804,-1.4604787582858805
C-093,Camp-Perrin,Les Cayes,0,Q3 — Moyen-élevé,25.301037626825902,-0.3070154208633427,-1.54443695645354,0.0182239519221042,0.796070838983342,-1.787990522595476,0.9788351504308028
C-094,Maniche,Les Cayes,0,Q1 — Faible,8.927792497770994,-2.575312950011037,0.01112371233043,-0.0166050672402364,0.5615609974449114,-2.330680511656616,-0.4274125021659573
C-095,Île-à-Vache,Les Cayes,0,Q1 — Faible,4.780281613178737,-3.149895973564464,-0.4240135968978366,-2.7764863650334606,0.4137260475536247,-0.8391062203125852,0.6684701687559665
C-096,Port-Salut,Port-Salut,0,Q2 — Moyen-faible,18.829343579335507,-1.203583419547526,-0.4601602116675765,-1.1220782190678908,-0.8209195395894723,0.0910279343739099,0.2676980915142313
C-097,Saint-Jean-du-Sud,Port-Salut,0,Q1 — Faible,10.218147969191286,-2.3965511893170044,-0.1285171943770734,-1.2237988437422482,-1.278666444915278,1.573043666721424,0.7696270733610505
C-098,Arniquet,Port-Salut,0,Q1 — Faible,3.1038687831440974,-3.3821408981488528,-0.4883673344213852,-1.1066945503257444,2.217006924953496,1.3277614480627,0.569042561471875
C-099,Aquin,Aquin,0,Q3 — Moyen-élevé,30.979523763986123,0.4796640658660812,-2.7656198084844306,2.2440334997015228,-1.28239583134834,0.1504491632727834,-0.6608436686331217
C-100,Saint-Louis-du-Sud,Aquin,0,Q2 — Moyen-faible,14.602820861715882,-1.7891124922327386,-2.13496041416643,-0.2318003093528612,-0.2122957134020191,0.0086491378988326,1.9718337944983344
C-101,Cavaillon,Aquin,0,Q2 — Moyen-faible,12.660686392383733,-2.05816965123424,-2.128214708757884,1.044170627958234,0.4013421577445542,-0.3099816529825885,-0.0262382608974948
C-102,Côteaux,Côteaux,2,Q3 — Moyen-élevé,30.14592953574705,0.364180561324205,2.24786226513994,-0.2724778576464164,-0.2633939401193484,-0.9755278006653966,0.1296264531139847
C-103,Port-à-Piment,Côteaux,2,Q3 — Moyen-élevé,26.835837426834672,-0.0943891169965287,2.5912346561423747,-0.7013053515519078,1.3167719196985137,1.1955983233169325,0.5210392022122206
C-104,Roche-à-Bateau,Côteaux,0,Q1 — Faible,7.407594325570457,-2.785916390601947,-0.8140481877838347,-2.358941870014902,-1.4117084531610915,0.6694309144590449,1.6707296880296176
C-105,Chardonnières,Chardonnières,2,Q3 — Moyen-élevé,27.59907226911737,0.0113470210300816,2.0597189091419703,-0.5093940103292564,-0.4573940813142925,-1.853388100799204,-0.4367393477199525
C-106,Les Anglais,Chardonnières,2,Q2 — Moyen-faible,16.108086892528483,-1.58057770322239,1.950856323881033,-0.7866222039625546,1.347271422200922,1.029451699747655,1.3884254850642577
C-107,Tiburon,Chardonnières,2,Q2 — Moyen-faible,18.80801383483442,-1.206538374803361,3.166748452916057,-0.1355578029228292,-0.2518820096523519,0.6638810448578725,0.7850781396479658
C-108,Jérémie,Jérémie,1,Q4 — Élevé,59.34615127158395,4.4094868089188015,0.9026046507158738,1.6451294641820624,0.4949339344486896,0.6337340470697782,0.8774993751902938
C-109,Abricots,Jérémie,0,Q1 — Faible,7.563558037692715,-2.764309671832689,-1.1549132127400237,-0.9024316476282028,2.011305405972132,-1.2987556253701134,0.6427539394396876
C-110,Bonbon,Jérémie,0,Q1 — Faible,0.0,-3.8121410499886856,-0.4952538337862865,-2.224560485846236,-0.3069847423195447,0.0886452628680636,-0.9873557756588146
C-111,Moron,Jérémie,0,Q1 — Faible,2.679402312703857,-3.440945138757032,-0.8372871001438753,-0.1462989206476475,0.1693037181748254,1.6866865933525907,1.3567185548832066
C-112,Chambellan,Jérémie,0,Q1 — Faible,5.291107245365154,-3.079127808171424,-1.0385135863224926,-1.6911076990960128,-1.1141461553990444,1.0894263970221765,2.090159338256078
C-113,Anse-d'Hainault,Anse-d'Hainault,2,Q4 — Élevé,35.56230641289764,1.1145482612233235,1.676777952823129,-0.7273659167446054,-1.5871375926552012,-0.2498668054912455,2.3603005160384325
C-114,Dame-Marie,Anse-d'Hainault,2,Q3 — Moyen-élevé,33.22533323459192,0.7907913978616086,2.949750603607621,-0.5729439571983735,-0.100798544503626,-1.064892595791929,0.6661075584722344
C-115,Les Irois,Anse-d'Hainault,2,Q2 — Moyen-faible,22.6425717308931,-0.6753108672172856,3.174824359226743,-0.2727866056862674,-0.1075130086490956,-1.318367277375645,0.1729181752273346
C-116,Corail,Corail,0,Q1 — Faible,9.05955960586423,-2.557058352137801,-0.946681353148938,-0.1785744428576314,-1.392741817842147,-0.1177182131757609,-1.214207768047136
C-117,Roseaux,Corail,0,Q1 — Faible,8.67911634154926,-2.6097637571827166,-1.6272028287608475,0.7895335862298843,-2.784503374838004,1.7470875570955475,0.0673682066551004
C-118,Beaumont,Corail,0,Q2 — Moyen-faible,16.60930340867636,-1.5111407543350397,-1.7143281793691385,0.4605399484473497,-0.3007637020576321,-0.6028252651785218,0.5145094843975072
C-119,Pestel,Corail,0,Q2 — Moyen-faible,12.542564230116074,-2.0745339215238143,-1.485092784120355,1.5677576514809566,1.494494979704794,-0.8013456768904336,-0.132990006858488
C-120,Port-de-Paix,Port-de-Paix,1,Q4 — Élevé,67.37354264571255,5.521576188630449,-0.2018442206181689,0.7431864680480417,0.4063718236880893,-0.408692957938046,0.5800051127059067
C-121,La Tortue,Port-de-Paix,0,Q2 — Moyen-faible,16.135327233588285,-1.5768039126370748,-0.3400521087371426,-0.2340066110208089,-1.5143128782808677,-0.2517729542731983,0.5615002593650287
C-122,Bassin-Bleu,Port-de-Paix,0,Q2 — Moyen-faible,13.314045905494517,-1.9676552933563112,-0.6579904296870576,-0.0743625819920253,-0.3025528390470329,1.741660576950005,1.431987786926364
C-123,Chansolme,Port-de-Paix,0,Q1 — Faible,6.670516731554255,-2.888028786288873,-0.8911827122208178,-2.414733904276136,-0.6025099086900773,-0.0878305168188436,0.5437604187218036
C-124,Saint-Louis-du-Nord,Saint-Louis-du-Nord,2,Q4 — Élevé,38.8016924463397,1.5633225437614309,0.8734113792839635,-0.964013827207073,1.273244329670151,-0.4977832622647328,1.1130475198876135
C-125,Anse-à-Foleur,Saint-Louis-du-Nord,0,Q2 — Moyen-faible,10.983495399966204,-2.2905223799708576,0.063796398291338,-2.015876172863826,-0.3783894122583769,-1.2472264069513015,1.048734067672456
C-126,Môle-Saint-Nicolas,Môle-Saint-Nicolas,0,Q2 — Moyen-faible,15.493706398649357,-1.6656920312152923,0.007647380257837,0.5296123298723857,1.08330445310893,-1.4471798065582775,1.2491336347192423
C-127,Baie-de-Henne,Môle-Saint-Nicolas,0,Q2 — Moyen-faible,10.218791738852172,-2.3964620035068847,-0.7241665897373802,0.759599834068029,0.4958873164820006,0.385426915957152,1.1810869373802513
C-128,Bombardopolis,Môle-Saint-Nicolas,0,Q1 — Faible,6.51051809128651,-2.9101944912255377,-1.098549548537476,0.6687356775456271,0.2755513945409212,-0.1578378277751957,-0.0720115846572208
C-129,Jean-Rabel,Môle-Saint-Nicolas,0,Q3 — Moyen-élevé,26.97246000143274,-0.075461858170075,-2.640495816703884,1.877559499129008,2.032846276389401,-1.019827493533089,1.2143205028749162
C-130,Miragoâne,Miragoâne,2,Q4 — Élevé,52.11932564772809,3.408305273006641,1.470115202029532,1.2116531271963846,-0.2587719425689945,0.693832741209487,0.1334304338249172
C-131,Petite-Rivière-de-Nippes,Miragoâne,0,Q3 — Moyen-élevé,24.24420376067343,-0.4534258378831998,-0.5701799236639837,-0.0672590794831329,-0.4136585835902888,-1.6648331855303116,-0.792435857243779
C-132,Fonds-des-Nègres,Miragoâne,0,Q3 — Moyen-élevé,30.94967314584448,0.4755286557601107,-1.802928491986324,0.0497906120477272,-0.8404534265715526,-0.9257582767713308,0.5193446551827405
C-133,Paillant,Miragoâne,0,Q3 — Moyen-élevé,29.35242954138681,0.254251584972897,-2.016492305136991,-0.7428257873407785,-1.9986448707645137,-1.4558057970454474,0.6234777910603745
C-134,Anse-à-Veau,Anse-à-Veau,0,Q2 — Moyen-faible,10.688245041871197,-2.331425429578198,-1.6378305068666452,-0.58744818545679,-1.5524272860038697,1.3467463022504615,-3.2301934388128366
C-135,Petit-Trou-de-Nippes,Anse-à-Veau,2,Q3 — Moyen-élevé,26.88811002568811,-0.0871474366890023,2.336673673284715,0.4947473839674598,-0.4044351427869252,1.2143888223058266,-2.073793777696997
C-136,L'Asile,Anse-à-Veau,0,Q2 — Moyen-faible,20.71981734131748,-0.9416831713424364,-2.548324381931158,-0.0761862147940626,-0.8357531755026878,-0.0405624026193883,-1.3916948630844517
C-137,Arnaud,Anse-à-Veau,0,Q1 — Faible,9.53906340771469,-2.4906294139290743,-0.758048184654233,-0.4239244557117997,-0.3900234930201972,-0.1834142683575855,-1.8203924158735711
C-138,Plaisance-du-Sud,Anse-à-Veau,0,Q1 — Faible,6.131316873776719,-2.962727827039396,-0.3123364912423536,-0.4737682623195826,-1.013540632371733,0.7538430255241179,-1.953433087761792
C-139,Baradères,Baradères,0,Q1 — Faible,10.054362763650984,-2.419241473015179,-0.6252662547817037,0.1790282099385265,-0.3297405919516774,0.1379095134948139,-1.572014639635363
C-140,Grand-Boucan,Baradères,2,Q2 — Moyen-faible,18.78866865081207,-1.2092183953352065,4.714677175389668,-0.4639065997451361,-1.3803650945715094,0.1343717218323571,-0.8407495878661093
