id_commune,nom_commune,arrondissement,adm2_pcode,strate,acces_routier,classe_urbanisation,classe_densite_demographique,classe_densite_bancaire,classe_diversite_services,classe_privation_spatiale,departement,classe_taille_population,profil_services_financiers,classe_taille_menage
C-071,La Chapelle,Saint-Marc,HT0533,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Faible,Faible,Moyenne,Moyenne,Artibonite,Petite,Aucune institution formelle,Petite
C-072,Dessalines,Dessalines,HT0541,Rurale-Connectée (RN),Proche,Mi-urbaine,Élevée,Faible,Élevée,Moyenne,Artibonite,Grande,Microfinance sans banque,Petite
C-073,Petite-Rivière-de-l'Artibonite,Dessalines,HT0542,Urbaine-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Élevée,Moyenne,Artibonite,Grande,Microfinance sans banque,Petite
C-074,Grande-Saline,Dessalines,HT0543,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Élevée,Faible,Moyenne,Faible,Artibonite,Petite,Aucune institution formelle,Petite
C-075,Desdunes,Dessalines,HT0544,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Moyenne,Moyenne,Moyenne,Moyenne,Artibonite,Moyenne,Caisse populaire uniquement,Petite
C-076,Saint-Michel-de-l'Attalaye,Marmelade,HT0551,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Élevée,Faible,Artibonite,Grande,Microfinance sans banque,Petite
C-077,Marmelade,Marmelade,HT0552,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Élevée,Moyenne,Artibonite,Moyenne,Microfinance sans banque,Grande
C-078,Hinche,Hinche,HT0611,Urbaine-Connectée (RN),Proche,Mi-urbaine,Faible,Élevée,Élevée,Élevée,Centre,Grande,Pôle financier complet,Moyenne
C-079,Maïssade,Hinche,HT0612,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Faible,Moyenne,Élevée,Élevée,Centre,Grande,Microfinance sans banque,Moyenne
C-080,Thomonde,Hinche,HT0613,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Faible,Moyenne,Élevée,Moyenne,Centre,Grande,Microfinance sans banque,Moyenne
C-081,Cerca-Carvajal,Hinche,HT0614,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Faible,Moyenne,Moyenne,Faible,Centre,Petite,Aucune institution formelle,Grande
C-082,Mirebalais,Mirebalais,HT0621,Rurale-Connectée (RN),Proche,Mi-urbaine,Moyenne,Élevée,Élevée,Élevée,Centre,Grande,Pôle financier complet,Petite
C-083,Saut-d'Eau,Mirebalais,HT0622,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Faible,Moyenne,Élevée,Faible,Centre,Moyenne,Microfinance sans banque,Petite
C-084,Boucan-Carré,Mirebalais,HT0623,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Faible,Faible,Moyenne,Élevée,Centre,Grande,Microfinance sans banque,Petite
C-085,Lascahobas,Lascahobas,HT0631,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Élevée,Élevée,Faible,Centre,Moyenne,Microfinance sans banque,Moyenne
C-086,Belladère,Lascahobas,HT0632,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Moyenne,Élevée,Centre,Grande,Microfinance sans banque,Moyenne
C-087,Savanette,Lascahobas,HT0633,Rurale-Non-connectée (H-Ile),Moyen,Rurale,Faible,Faible,Moyenne,Élevée,Centre,Moyenne,Caisse populaire uniquement,Petite
C-088,Cerca-la-Source,Cerca-la-Source,HT0641,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Faible,Faible,Faible,Faible,Centre,Grande,Aucune institution formelle,Grande
C-089,Thomassique,Cerca-la-Source,HT0642,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Moyenne,Moyenne,Élevée,Centre,Grande,Microfinance sans banque,Grande
C-090,Les Cayes,Les Cayes,HT0711,Urbaine-Connectée (RN),Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Sud,Grande,Pôle financier complet,Moyenne
C-091,Torbeck,Les Cayes,HT0712,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Faible,Moyenne,Élevée,Sud,Grande,Aucune institution formelle,Grande
C-092,Chantal,Les Cayes,HT0713,Rurale-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Faible,Faible,Moyenne,Moyenne,Sud,Moyenne,Aucune institution formelle,Moyenne
C-093,Camp-Perrin,Les Cayes,HT0714,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Élevée,Élevée,Faible,Sud,Moyenne,Microfinance sans banque,Grande
C-094,Maniche,Les Cayes,HT0715,Rurale-Non-connectée (H-Ile),Proche,Rurale,Faible,Faible,Moyenne,Faible,Sud,Petite,Caisse populaire uniquement,Moyenne
C-095,Île-à-Vache,Les Cayes,HT0716,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Moyenne,Faible,Sud,Petite,Aucune institution formelle,Grande
C-096,Port-Salut,Port-Salut,HT0721,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Élevée,Élevée,Moyenne,Élevée,Sud,Petite,Caisse populaire uniquement,Moyenne
C-097,Saint-Jean-du-Sud,Port-Salut,HT0722,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Moyenne,Moyenne,Élevée,Sud,Petite,Aucune institution formelle,Moyenne
C-098,Arniquet,Port-Salut,HT0723,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Faible,Moyenne,Élevée,Sud,Petite,Caisse populaire uniquement,Grande
C-099,Aquin,Aquin,HT0731,Rurale-Connectée (RN),Éloigné,Mi-urbaine,Faible,Élevée,Moyenne,Élevée,Sud,Grande,Microfinance sans banque,Moyenne
C-100,Saint-Louis-du-Sud,Aquin,HT0732,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Élevée,Moyenne,Moyenne,Moyenne,Sud,Grande,Caisse populaire uniquement,Grande
C-101,Cavaillon,Aquin,HT0733,Rurale-Non-connectée (H-Ile),Proche,Rurale,Moyenne,Moyenne,Moyenne,Moyenne,Sud,Moyenne,Caisse populaire uniquement,Petite
C-102,Côteaux,Côteaux,HT0741,Urbaine-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Moyenne,Moyenne,Élevée,Moyenne,Sud,Petite,Microfinance sans banque,Moyenne
C-103,Port-à-Piment,Côteaux,HT0742,Urbaine-Non-connectée (H-Ile),Éloigné,Urbaine,Moyenne,Moyenne,Moyenne,Élevée,Sud,Petite,Caisse populaire uniquement,Grande
C-104,Roche-à-Bateau,Côteaux,HT0743,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Élevée,Moyenne,Moyenne,Moyenne,Sud,Petite,Aucune institution formelle,Grande
C-105,Chardonnières,Chardonnières,HT0751,Urbaine-Non-connectée (H-Ile),Moyen,Mi-urbaine,Faible,Élevée,Moyenne,Faible,Sud,Petite,Caisse populaire uniquement,Grande
C-106,Les Anglais,Chardonnières,HT0752,Urbaine-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Moyenne,Élevée,Sud,Petite,Aucune institution formelle,Grande
C-107,Tiburon,Chardonnières,HT0753,Urbaine-Non-connectée (H-Ile),Proche,Mi-urbaine,Faible,Faible,Moyenne,Moyenne,Sud,Petite,Aucune institution formelle,Grande
C-108,Jérémie,Jérémie,HT0811,Urbaine-Connectée (RN),Proche,Mi-urbaine,Moyenne,Élevée,Élevée,Élevée,Grand'Anse,Grande,Pôle financier complet,Moyenne
C-109,Abricots,Jérémie,HT0812,Rurale-Non-connectée (H-Ile),Moyen,Rurale,Élevée,Faible,Moyenne,Faible,Grand'Anse,Moyenne,Caisse populaire uniquement,Grande
C-110,Bonbon,Jérémie,HT0813,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Moyenne,Moyenne,Moyenne,Grand'Anse,Petite,Aucune institution formelle,Moyenne
C-111,Moron,Jérémie,HT0814,Rurale-Non-connectée (H-Ile),Proche,Rurale,Faible,Faible,Moyenne,Élevée,Grand'Anse,Moyenne,Aucune institution formelle,Grande
C-112,Chambellan,Jérémie,HT0815,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Élevée,Moyenne,Moyenne,Élevée,Grand'Anse,Petite,Aucune institution formelle,Grande
C-113,Anse-d'Hainault,Anse-d'Hainault,HT0821,Urbaine-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Élevée,Moyenne,Élevée,Moyenne,Grand'Anse,Moyenne,Microfinance sans banque,Grande
C-114,Dame-Marie,Anse-d'Hainault,HT0822,Urbaine-Non-connectée (H-Ile),Proche,Mi-urbaine,Élevée,Moyenne,Moyenne,Faible,Grand'Anse,Moyenne,Caisse populaire uniquement,Moyenne
C-115,Les Irois,Anse-d'Hainault,HT0823,Urbaine-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Faible,Moyenne,Moyenne,Faible,Grand'Anse,Petite,Aucune institution formelle,Grande
C-116,Corail,Corail,HT0831,Rurale-Connectée (RN),Éloigné,Mi-urbaine,Faible,Élevée,Moyenne,Moyenne,Grand'Anse,Petite,Aucune institution formelle,Moyenne
C-117,Roseaux,Corail,HT0832,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Faible,Moyenne,Moyenne,Élevée,Grand'Anse,Moyenne,Aucune institution formelle,Petite
C-118,Beaumont,Corail,HT0833,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Faible,Moyenne,Élevée,Moyenne,Grand'Anse,Moyenne,Microfinance sans banque,Petite
C-119,Pestel,Corail,HT0834,Rurale-Non-connectée (H-Ile),Proche,Rurale,Faible,Élevée,Moyenne,Moyenne,Grand'Anse,Moyenne,Caisse populaire uniquement,Moyenne
C-120,Port-de-Paix,Port-de-Paix,HT0911,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Nord-Ouest,Grande,Pôle financier complet,Grande
C-121,La Tortue,Port-de-Paix,HT0912,Rurale-Non-connectée (H-Ile),Proche,Rurale,Faible,Moyenne,Moyenne,Moyenne,Nord-Ouest,Moyenne,Aucune institution formelle,Grande
C-122,Bassin-Bleu,Port-de-Paix,HT0913,Rurale-Non-connectée (H-Ile),Moyen,Rurale,Moyenne,Faible,Moyenne,Élevée,Nord-Ouest,Grande,Aucune institution formelle,Grande
C-123,Chansolme,Port-de-Paix,HT0914,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Faible,Moyenne,Faible,Nord-Ouest,Petite,Aucune institution formelle,Grande
C-124,Saint-Louis-du-Nord,Saint-Louis-du-Nord,HT0921,Urbaine-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Élevée,Moyenne,Moyenne,Faible,Nord-Ouest,Grande,Caisse populaire uniquement,Grande
C-125,Anse-à-Foleur,Saint-Louis-du-Nord,HT0922,Rurale-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Élevée,Moyenne,Moyenne,Faible,Nord-Ouest,Petite,Aucune institution formelle,Grande
C-126,Môle-Saint-Nicolas,Môle-Saint-Nicolas,HT0931,Rurale-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Faible,Moyenne,Moyenne,Faible,Nord-Ouest,Moyenne,Caisse populaire uniquement,Grande
C-127,Baie-de-Henne,Môle-Saint-Nicolas,HT0932,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Faible,Moyenne,Moyenne,Élevée,Nord-Ouest,Petite,Caisse populaire uniquement,Moyenne
C-128,Bombardopolis,Môle-Saint-Nicolas,HT0933,Rurale-Non-connectée (H-Ile),Proche,Rurale,Faible,Moyenne,Moyenne,Moyenne,Nord-Ouest,Moyenne,Aucune institution formelle,Petite
C-129,Jean-Rabel,Môle-Saint-Nicolas,HT0934,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Moyenne,Moyenne,Élevée,Moyenne,Nord-Ouest,Grande,Microfinance sans banque,Moyenne
C-130,Miragoâne,Miragoâne,HT1011,Urbaine-Connectée (RN),Proche,Mi-urbaine,Moyenne,Élevée,Élevée,Élevée,Nippes,Grande,Pôle financier complet,Petite
C-131,Petite-Rivière-de-Nippes,Miragoâne,HT1012,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Élevée,Élevée,Faible,Nippes,Petite,Microfinance sans banque,Petite
C-132,Fonds-des-Nègres,Miragoâne,HT1013,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Élevée,Élevée,Élevée,Moyenne,Nippes,Moyenne,Bancarisé,Petite
C-133,Paillant,Miragoâne,HT1014,Rurale-Non-connectée (H-Ile),Proche,Rurale,Moyenne,Élevée,Élevée,Moyenne,Nippes,Petite,Bancarisé,Petite
C-134,Anse-à-Veau,Anse-à-Veau,HT1021,Rurale-Connectée (RN),Proche,Mi-urbaine,Moyenne,Faible,Moyenne,Élevée,Nippes,Moyenne,Aucune institution formelle,Petite
C-135,Petit-Trou-de-Nippes,Anse-à-Veau,HT1022,Urbaine-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Faible,Faible,Moyenne,Moyenne,Nippes,Petite,Aucune institution formelle,Petite
C-136,L'Asile,Anse-à-Veau,HT1023,Rurale-Non-connectée (H-Ile),Proche,Rurale,Moyenne,Élevée,Moyenne,Moyenne,Nippes,Moyenne,Caisse populaire uniquement,Petite
C-137,Arnaud,Anse-à-Veau,HT1024,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Moyenne,Moyenne,Moyenne,Nippes,Petite,Aucune institution formelle,Petite
C-138,Plaisance-du-Sud,Anse-à-Veau,HT1025,Rurale-Non-connectée (H-Ile),Proche,Rurale,Moyenne,Faible,Faible,Faible,Nippes,Petite,Aucune institution formelle,Petite
C-139,Baradères,Baradères,HT1031,Rurale-Non-connectée (H-Ile),Moyen,Rurale,Faible,Faible,Moyenne,Faible,Nippes,Moyenne,Aucune institution formelle,Petite
C-140,Grand-Boucan,Baradères,HT1032,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Faible,Faible,Faible,Moyenne,Nippes,Petite,Aucune institution formelle,Petite
