id_commune,nom_commune,arrondissement,adm2_pcode,brh_maison_de_transfert,brh_agent_non_bancaire,brh_banque,brh_atm,brh_microfinance,brh_caisse_populaire,population_totale,superficie_km2,superficie_urbaine_km2,taux_compte_formel,taux_compte_mobile,taux_utilisation_OTA,score_connaissance_fka,taux_connaissance_banque,taux_satisfaction_banque,taux_epargne_formelle,taux_telephone_mobile,taux_internet,indice_privation_spatiale,part_urbaine,densite_hab_km2,densite_bancaire_10k,nb_types_services,taille_moyenne_menage,strate,acces_routier,classe_urbanisation,classe_densite_demographique,classe_densite_bancaire,classe_diversite_services,classe_privation_spatiale,departement,classe_taille_population,profil_services_financiers,classe_taille_menage
C-001,Port-au-Prince,Port-au-Prince,HT0111,139,248,22,30,16,6,989447,36.04,25.29,20.86,7.19,55.06,4.0,91.2,49.72,15.34,84.34,29.75,0.276,0.9989802384564308,27454.134295227526,4.659168202036087,6,4.638888107494819,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Moyenne
C-002,Delmas,Port-au-Prince,HT0112,168,184,25,37,8,2,396122,27.74,27.74,21.11,6.17,52.73,3.92,95.03,59.55,18.04,77.0,56.33,0.492,1.0,14279.812545061284,10.703773080010704,6,4.730436236401199,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-003,Cité Soleil,Port-au-Prince,HT0117,9,21,2,1,2,1,265687,21.81,21.81,21.48,6.72,60.39,4.48,96.25,84.06,15.83,77.48,40.53,0.93,1.0,12181.88904172398,1.354977849875982,6,4.470211155043325,Urbaine-PAP,Proche,Urbaine,Élevée,Faible,Élevée,Élevée,Ouest,Grande,Pôle financier complet,Moyenne
C-004,Tabarre,Port-au-Prince,HT0118,52,56,8,9,3,1,130564,24.47,24.47,25.07,7.8,63.87,3.44,97.25,83.5,12.6,76.9,44.19,0.657,1.0,5335.676338373519,9.880212003308722,6,4.739681272007841,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-005,Carrefour,Port-au-Prince,HT0113,230,122,12,9,7,1,512467,165.16,21.85,18.98,7.56,54.28,4.83,100.0,60.6,16.03,78.03,33.09,0.241,0.9980076765918586,3102.851780092032,7.434625058784273,6,4.871544545419978,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Grande
C-006,Pétion-Ville,Port-au-Prince,HT0114,124,129,28,34,9,3,377688,165.49,37.34,15.92,11.24,53.01,3.31,63.5,58.43,16.51,68.07,48.28,0.432,0.9914161953781958,2282.2406187685056,8.657939886890768,6,4.536302381724498,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-007,Kenscoff,Port-au-Prince,HT0115,2,8,0,0,0,1,57573,202.76,1.46,14.47,2.39,53.49,4.23,94.43,50.51,13.77,80.74,42.26,0.895,0.8664651833324649,283.9465377786546,1.910617824327376,3,4.368872363029292,Urbaine-Connectée (RN),Moyen,Urbaine,Moyenne,Moyenne,Moyenne,Élevée,Ouest,Moyenne,Caisse populaire uniquement,Petite
C-008,Gressier,Port-au-Prince,HT0116,31,21,0,0,0,2,36541,92.31,1.76,16.37,7.95,55.58,3.03,91.89,72.84,11.76,79.47,41.61,0.68,0.9343477190005748,395.8509370599068,14.77792069182562,3,4.066889259877573,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Moyenne,Élevée,Moyenne,Moyenne,Ouest,Petite,Caisse populaire uniquement,Petite
C-009,Léogâne,Léogâne,HT0121,65,65,3,2,6,4,200287,385.23,10.61,13.18,2.36,47.07,3.89,74.66,68.63,15.23,74.45,29.79,0.846,0.9500117331629112,519.9153752303819,7.2396111579882865,6,4.325199213941737,Urbaine-Connectée (RN),Proche,Urbaine,Élevée,Élevée,Élevée,Élevée,Ouest,Grande,Pôle financier complet,Petite
C-010,Petit-Goâve,Léogâne,HT0122,26,49,3,1,4,0,173389,387.88,6.69,27.8,7.63,66.79,4.14,100.0,80.53,12.75,85.95,42.46,0.423,0.9835052973372012,447.0171186965041,4.786924199343672,5,4.360232359301916,Urbaine-Non-connectée (H-Ile),Moyen,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Petite
C-011,Grand-Goâve,Léogâne,HT0123,5,13,0,1,0,1,136799,242.79,1.53,25.65,7.68,68.72,5.11,82.89,81.84,17.52,87.02,47.33,0.809,0.8112193802586276,563.4457761851806,1.461998991220696,4,4.048265861742424,Urbaine-Non-connectée (H-Ile),Éloigné,Urbaine,Élevée,Faible,Élevée,Élevée,Ouest,Grande,Caisse populaire uniquement,Petite
C-012,Croix-des-Bouquets,Croix-des-Bouquets,HT0131,104,97,5,3,10,3,250205,634.62,5.46,24.75,8.68,63.94,3.88,92.75,63.08,14.08,76.99,40.51,0.539,0.9235506884354828,394.25955690019225,8.872724366019865,6,4.593867621408244,Urbaine-PAP,Proche,Urbaine,Moyenne,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-013,Thomazeau,Croix-des-Bouquets,HT0132,5,7,0,0,0,0,53093,300.39,1.3,25.8,7.55,56.34,3.71,100.0,78.01,18.88,82.18,49.4,0.275,0.8288474940199273,176.74689570225374,2.260184958469101,2,4.2603915904349225,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Faible,Moyenne,Moyenne,Faible,Ouest,Moyenne,Aucune institution formelle,Petite
C-014,Ganthier,Croix-des-Bouquets,HT0133,5,16,0,1,1,0,62683,496.11,2.42,32.13,7.87,39.25,3.39,100.0,64.43,10.22,100.0,49.14,0.334,0.9194837515753872,126.34899518252,3.669256417210408,4,5.099495606898796,Urbaine-Non-connectée (H-Ile),Moyen,Urbaine,Faible,Élevée,Élevée,Faible,Ouest,Moyenne,Microfinance sans banque,Grande
C-015,Cornillon,Croix-des-Bouquets,HT0134,2,4,0,0,1,0,59811,223.24,0.87,21.88,11.04,76.56,3.09,100.0,77.8,3.06,92.26,9.94,0.453,0.2939760244771028,267.9224153377531,1.1703532794970826,3,4.601908132645995,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Moyenne,Faible,Moyenne,Moyenne,Ouest,Moyenne,Microfinance sans banque,Moyenne
C-016,Fonds-Verrettes,Croix-des-Bouquets,HT0135,2,8,0,0,1,0,50146,275.81,1.19,25.01,6.4,51.23,3.39,98.31,66.52,18.22,70.72,52.05,0.285,0.8633390499740757,181.8135673108299,2.19359470346588,3,4.643578109084174,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Faible,Moyenne,Moyenne,Faible,Ouest,Moyenne,Microfinance sans banque,Moyenne
C-017,Arcahaie,Arcahaie,HT0141,17,20,0,2,0,1,130620,408.73,13.01,12.89,2.71,48.63,4.64,91.68,71.62,13.0,72.48,42.29,0.886,0.9376588577553208,319.5752697379688,3.062318174858368,4,3.887037257469349,Urbaine-Connectée (RN),Éloigné,Urbaine,Moyenne,Moyenne,Élevée,Élevée,Ouest,Grande,Caisse populaire uniquement,Petite
C-018,Cabaret,Arcahaie,HT0142,11,32,1,1,4,1,68406,202.36,1.74,15.78,2.83,44.61,3.83,100.0,70.8,14.64,70.65,42.31,0.966,0.9857030085080256,338.041114844831,7.309300353770137,6,4.395707492610204,Urbaine-Connectée (RN),Proche,Urbaine,Moyenne,Élevée,Élevée,Élevée,Ouest,Grande,Pôle financier complet,Petite
C-019,Anse-à-Galets,La Gonâve,HT0151,22,27,1,0,2,0,62709,372.01,2.45,23.38,8.19,57.62,5.08,100.0,72.74,14.09,97.32,42.62,0.289,0.971886013171953,168.56804924598802,8.292270646956577,4,4.832691122071517,Urbaine-Non-connectée (H-Ile),Éloigné,Urbaine,Faible,Élevée,Élevée,Faible,Ouest,Grande,Bancarisé,Moyenne
C-020,Pointe-à-Raquette,La Gonâve,HT0152,4,13,0,0,0,0,24579,317.61,0.57,29.68,8.78,48.79,4.04,82.54,80.58,13.46,78.98,42.44,0.907,0.7679726595874528,77.38736185888354,6.9164734122625005,2,3.6359467455621295,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Faible,Élevée,Moyenne,Élevée,Ouest,Petite,Aucune institution formelle,Petite
C-021,Jacmel,Jacmel,HT0211,59,105,3,2,7,4,221965,443.88,3.75,29.27,19.01,62.93,3.28,74.26,51.22,3.11,72.52,6.66,0.226,0.4924109656927894,500.056321528341,8.109386615006871,6,4.413612773657315,Rurale-Connectée (RN),Moyen,Mi-urbaine,Élevée,Élevée,Élevée,Faible,Sud-Est,Grande,Pôle financier complet,Petite
C-022,Marigot,Jacmel,HT0212,9,20,0,0,1,2,88579,187.11,4.6,29.07,11.35,92.66,3.35,100.0,60.5,2.42,90.97,10.69,0.952,0.2527122681448199,473.4060178504623,3.612594407252283,4,4.558643404868509,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Élevée,Élevée,Élevée,Sud-Est,Grande,Microfinance sans banque,Moyenne
C-023,Cayes-Jacmel,Jacmel,HT0213,5,10,0,0,0,1,47835,78.99,0.94,26.14,8.75,66.91,3.12,92.22,69.08,2.95,69.89,8.75,0.727,0.2303543430542489,605.5829851879985,3.344831190550852,3,4.622632392732895,Rurale-Non-connectée (H-Ile),Moyen,Rurale,Élevée,Élevée,Moyenne,Élevée,Sud-Est,Moyenne,Caisse populaire uniquement,Moyenne
C-024,La Vallée de Jacmel,Jacmel,HT0214,5,9,0,0,1,2,43154,84.79,0.88,23.88,12.76,78.3,3.98,73.07,56.41,3.23,77.42,13.68,0.508,0.0900727626639477,508.95152730274793,3.93937989525884,4,4.577216801018244,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Élevée,Élevée,Moyenne,Sud-Est,Moyenne,Microfinance sans banque,Moyenne
C-025,Bainet,Bainet,HT0221,5,19,0,0,0,0,102806,300.6,0.59,25.95,10.57,89.51,2.68,98.98,67.61,2.9,75.46,13.62,0.342,0.1181545824173686,342.0026613439787,2.3344940956753497,2,4.4547187797902765,Rurale-Non-connectée (H-Ile),Proche,Rurale,Moyenne,Moyenne,Moyenne,Faible,Sud-Est,Grande,Aucune institution formelle,Petite
C-026,Côtes-de-Fer,Bainet,HT0222,5,5,0,0,0,0,58089,162.03,0.5,24.94,13.12,89.04,2.84,89.25,67.95,2.55,63.82,12.41,0.381,0.1262717554098022,358.50768376226625,1.7214963246053467,2,4.523008642840458,Rurale-Non-connectée (H-Ile),Proche,Rurale,Moyenne,Faible,Moyenne,Faible,Sud-Est,Moyenne,Aucune institution formelle,Moyenne
C-027,Belle-Anse,Belle-Anse,HT0231,2,21,0,0,0,1,90035,381.27,1.19,25.28,14.13,87.64,3.24,100.0,86.14,3.46,81.12,10.61,0.844,0.1608041317265507,236.1449891153251,2.665630032765036,3,4.705989964457453,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Faible,Moyenne,Moyenne,Élevée,Sud-Est,Grande,Caisse populaire uniquement,Moyenne
C-028,Grand-Gosier,Belle-Anse,HT0232,1,0,0,0,0,0,20220,83.91,1.21,23.26,11.47,81.86,3.91,99.16,73.54,3.33,61.08,9.34,0.749,0.3415924826904055,240.9724705041116,0.4945598417408507,1,4.278459585272958,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Faible,Faible,Faible,Élevée,Sud-Est,Petite,Aucune institution formelle,Petite
C-029,Thiotte,Belle-Anse,HT0233,3,11,0,0,2,1,41394,126.33,2.41,21.47,9.99,86.8,4.21,84.51,83.12,2.53,84.07,9.91,0.408,0.4013866743972556,327.6656376157682,4.106875392568971,4,4.3989373007438894,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Élevée,Élevée,Faible,Sud-Est,Moyenne,Microfinance sans banque,Petite
C-030,Anse-à-Pitre,Belle-Anse,HT0234,1,3,0,0,1,0,35726,185.19,4.45,22.41,8.08,69.7,4.59,100.0,75.26,12.09,76.6,54.24,0.227,0.6838436992666406,192.9153842000108,1.3995409505682137,3,4.04368986983588,Urbaine-Non-connectée (H-Ile),Proche,Mi-urbaine,Faible,Faible,Moyenne,Faible,Sud-Est,Petite,Microfinance sans banque,Petite
C-031,Cap-Haïtien,Cap-Haïtien,HT0311,107,91,11,6,6,1,301506,53.5,24.21,10.32,3.16,52.76,4.46,86.98,61.62,12.86,77.98,37.64,0.18,0.9938276518543578,5635.626168224299,7.363037551491512,6,5.159240246406571,Urbaine-Connectée (RN),Proche,Urbaine,Élevée,Élevée,Élevée,Faible,Nord,Grande,Pôle financier complet,Grande
C-032,Quartier-Morin,Cap-Haïtien,HT0312,1,13,0,0,0,0,30057,60.36,1.01,35.82,18.77,56.43,3.82,87.9,68.34,3.25,58.57,7.11,0.709,0.4087899657317763,497.96222664015903,4.657816814718701,2,4.493496785767678,Rurale-Connectée (RN),Proche,Mi-urbaine,Élevée,Élevée,Moyenne,Élevée,Nord,Petite,Aucune institution formelle,Moyenne
C-033,Limonade,Cap-Haïtien,HT0313,5,5,0,0,0,2,60583,131.9,1.92,11.24,2.75,45.67,4.62,86.49,74.33,15.62,72.35,48.49,0.51,0.6818579469488141,459.3100833965125,1.9807536767740128,3,4.704379562043796,Urbaine-Connectée (RN),Proche,Mi-urbaine,Élevée,Moyenne,Moyenne,Moyenne,Nord,Moyenne,Caisse populaire uniquement,Moyenne
C-034,Acul-du-Nord,Acul-du-Nord,HT0321,0,8,0,1,0,0,61421,186.37,4.71,22.83,8.78,63.84,3.15,100.0,84.89,16.78,78.62,51.45,0.192,0.5082138030966608,329.5648441272737,1.4652968854300643,2,4.855798877381611,Urbaine-Non-connectée (H-Ile),Éloigné,Mi-urbaine,Moyenne,Faible,Moyenne,Faible,Nord,Moyenne,Aucune institution formelle,Grande
C-035,Plaine-du-Nord,Acul-du-Nord,HT0322,1,16,0,0,0,1,45326,100.69,4.5,15.14,3.22,44.93,2.99,90.04,65.67,14.27,53.37,52.45,0.576,0.647244407183515,450.15393782898,3.971230640250628,3,4.752149297546655,Urbaine-Connectée (RN),Proche,Mi-urbaine,Élevée,Élevée,Moyenne,Moyenne,Nord,Moyenne,Caisse populaire uniquement,Moyenne
C-036,Milot,Acul-du-Nord,HT0323,4,4,0,1,1,1,35147,71.64,1.83,15.54,2.84,61.65,4.4,100.0,50.44,12.92,81.06,48.54,0.487,0.623239536802572,490.60580681183694,3.1297123509830143,5,4.863963465264323,Urbaine-Connectée (RN),Proche,Mi-urbaine,Élevée,Moyenne,Élevée,Moyenne,Nord,Petite,Microfinance sans banque,Grande
C-037,Grande-Rivière-du-Nord,Grande-Rivière-du-Nord,HT0331,3,4,0,0,0,0,45443,128.15,0.94,17.32,6.09,57.25,3.23,100.0,53.45,17.07,77.6,49.57,0.67,0.7088220407983628,354.60788138899727,1.5403912593798823,2,4.360295528689311,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Moyenne,Faible,Moyenne,Moyenne,Nord,Moyenne,Aucune institution formelle,Petite
C-038,Bahon,Grande-Rivière-du-Nord,HT0332,1,3,0,0,0,0,25544,76.38,0.24,23.67,12.61,79.3,3.52,82.69,68.47,2.75,78.3,11.09,0.363,0.3132242405261509,334.433097669547,1.5659254619480114,2,4.79249530956848,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Moyenne,Faible,Nord,Petite,Aucune institution formelle,Moyenne
C-039,Saint-Raphaël,Saint-Raphaël,HT0341,4,22,0,0,3,0,59057,183.81,1.78,25.23,7.17,67.55,3.87,52.25,46.75,15.42,89.33,28.92,0.59,0.613695243578238,321.2937272183233,4.910510185075435,3,4.581969120955854,Urbaine-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Élevée,Moyenne,Moyenne,Nord,Moyenne,Microfinance sans banque,Moyenne
C-040,Dondon,Saint-Raphaël,HT0342,2,3,0,0,0,0,38016,120.36,0.75,23.78,8.36,56.21,3.94,100.0,91.39,11.51,75.08,42.18,0.442,0.624815867003367,315.852442671984,1.3152356902356903,2,4.680044318601502,Urbaine-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Moyenne,Moyenne,Nord,Moyenne,Aucune institution formelle,Moyenne
C-041,Ranquitte,Saint-Raphaël,HT0343,0,3,0,0,0,0,30435,81.65,0.46,28.84,12.07,80.37,4.05,88.23,78.45,2.74,65.19,12.03,0.888,0.4165927386232955,372.7495407225964,0.9857072449482503,1,5.306887532693985,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Faible,Élevée,Nord,Petite,Aucune institution formelle,Grande
C-042,Pignon,Saint-Raphaël,HT0344,7,16,0,0,2,0,47530,140.41,0.9,20.69,5.8,65.6,4.27,80.92,65.13,17.27,81.04,41.15,0.677,0.6579844308857563,338.50865322982696,5.259835893120134,3,4.628042843232716,Urbaine-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Élevée,Moyenne,Moyenne,Nord,Moyenne,Microfinance sans banque,Moyenne
C-043,La Victoire,Saint-Raphaël,HT0345,1,1,0,0,0,1,11582,31.35,0.82,16.35,8.2,45.04,3.91,84.79,60.02,13.39,100.0,40.86,0.205,0.7822483163529614,369.44178628389153,2.590226213089277,3,4.951688755878581,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Moyenne,Moyenne,Moyenne,Faible,Nord,Petite,Caisse populaire uniquement,Grande
C-044,Borgne,Borgne,HT0351,0,3,0,0,0,0,73523,202.09,0.87,26.92,12.71,74.95,3.31,87.21,83.1,3.37,61.37,9.41,0.307,0.4094093004910028,363.813152555792,0.4080355807026373,1,5.256148126965971,Rurale-Non-connectée (H-Ile),Proche,Mi-urbaine,Moyenne,Faible,Faible,Faible,Nord,Grande,Aucune institution formelle,Grande
C-045,Port-Margot,Borgne,HT0352,4,16,0,0,1,1,54799,125.19,2.2,21.7,8.87,64.99,3.86,100.0,59.97,9.76,74.93,35.69,0.353,0.7107611452763737,437.7266554836648,4.014671800580302,4,4.979011448300927,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Élevée,Élevée,Élevée,Faible,Nord,Moyenne,Microfinance sans banque,Grande
